,usuarioA,usuarioB
444,82745,8604205
445,17351165,8604205
446,17351165,17351165
447,17351165,8604205
448,17351165,5370440
449,17351165,8604205
450,17351165,5370440
451,17351165,8604205
452,17351165,1853680
453,17351165,9250262
454,17351165,15655
455,17351165,9250262
456,7891759,8604205
457,7891759,7891759
458,7891759,8604205
459,7891759,7891759
460,7891759,8604205
461,7891759,8604205
462,7564255,1153097
463,7564255,7564255
464,7564255,976608
465,7564255,2158161
466,7564255,7564255
467,7564255,8604205
468,10427304,391394
469,10427304,2837340
470,10427304,1703387
471,10427304,8604205
472,1555551,8604205
473,1555551,1555551
474,1555551,8604205
475,1555551,1555551
476,1555551,8604205
477,1555551,1555551
478,10600101,8604205
479,10600101,363471
480,1016365,11273838
481,1016365,47395
482,1016365,1016365
483,1016365,47395
484,1016365,11273838
485,1016365,47395
486,5614205,1153097
487,5614205,8211199
488,5614205,6869601
489,5614205,1153097
490,5614205,6869601
491,5614205,1153097
492,5614205,10856791
493,10337261,1153097
494,10337261,10337261
495,10337261,4422908
496,10337261,5567477
497,10337261,9988910
498,10337261,3266840
499,652068,1153097
500,652068,652068
501,8604205,8604205
502,8604205,391394
503,8604205,8604205
504,8604205,391394
505,8604205,15655
506,8604205,15655
507,8604205,391394
508,8604205,15655
509,8604205,391394
510,8604205,15655
511,14172,15655
512,14172,15655
513,14172,15655
514,14172,8604205
515,2081709,15655
516,2081709,1153097
517,2081709,15655
518,2081709,2081709
519,2081709,8604205
520,2081709,8604205
521,2081709,15655
522,2081709,8604205
523,2081709,15655
524,2081709,15655
525,2081709,8604205
526,2081709,15655
527,2081709,2081709
528,3959940,3959940
529,3959940,1153097
530,3959940,3959940
531,3959940,1153097
532,3959940,1153097
533,3959940,1153097
534,3959940,3959940
535,3959940,3959940
536,3959940,1153097
537,3959940,3959940
538,3959940,3959940
539,3959940,1153097
540,3959940,1153097
541,3959940,976608
542,3959940,3959940
543,3959940,1153097
544,3959940,976608
545,3959940,1153097
546,3959940,3959940
547,3959940,1153097
548,3959940,1010260
549,3959940,1010260
550,3959940,8604205
551,3959940,8604205
552,3959940,31719359
553,1669397,1153097
554,1669397,391394
555,1225659,1153097
556,1225659,1225659
557,1225659,815936
558,2786682,8604205
559,2786682,1703387
560,2786682,8604205
561,9416171,1153097
562,9416171,1153097
563,9416171,9416171
564,9416171,1153097
565,9416171,9416171
566,9416171,9416171
567,9416171,1153097
568,9416171,9416171
569,9416171,352732
570,9416171,352732
571,9416171,1153097
572,9416171,352732
573,9416171,352732
574,9416171,352732
575,9416171,490562
576,9416171,1689047
577,9416171,1345518
578,9416171,15317324
579,9416171,473242
580,9416171,5518999
581,9416171,8478102
582,9416171,5518999
583,9416171,5518999
584,9416171,5518999
585,9416171,1153097
586,9416171,1153097
587,9416171,5518999
588,9416171,1153097
589,9416171,5518999
590,9416171,1153097
591,9416171,5518999
592,9416171,5518999
593,9416171,1153097
594,9416171,3368339
595,9416171,1153097
596,9416171,3368339
597,9416171,13438017
598,9416171,7785929
599,9416171,10137
600,9416171,7785929
601,9416171,3368339
602,9416171,1503031
603,9416171,1153097
604,9416171,1503031
605,9416171,888729
606,4007812,8604205
607,4007812,4007812
608,4007812,4007812
609,4007812,1045233
610,4007812,8604205
611,6702425,5384588
612,6702425,5384588
613,6702425,6702425
614,6702425,5384588
615,6702425,5384588
616,6702425,8604205
617,6702425,6702425
618,6702425,8604205
619,414500,15655
620,414500,414500
621,414500,5352840
622,414500,15655
623,414500,15655
624,414500,5352840
625,414500,15655
626,414500,414500
627,414500,15655
628,414500,5352840
629,414500,414500
630,414500,15655
631,414500,15655
632,414500,414500
633,414500,15655
634,414500,414500
635,414500,15655
636,414500,15655
637,414500,15655
638,976608,391394
639,976608,976608
640,976608,976608
641,976608,391394
642,976608,976608
643,976608,391394
644,2389598,1153097
645,2389598,8749549
646,2389598,1005257
647,2389598,1010260
648,2389598,1010260
649,7581987,8604205
650,7581987,803755
651,7581987,7581987
652,7581987,7581987
653,7581987,803755
654,7581987,29988
655,9416171,1153097
656,9416171,1153097
657,9416171,1153097
658,9416171,9416171
659,9416171,1153097
660,9416171,9416171
661,9416171,15655
662,9416171,9416171
663,9416171,15655
664,9416171,9416171
665,9416171,15655
666,9416171,9416171
667,9416171,22455373
668,9416171,15655
669,9416171,22455373
670,9416171,15655
671,9416171,22455373
672,9416171,15655
673,9416171,10536367
674,9416171,8604205
675,9416171,199627
676,9416171,199627
677,9416171,26244290
678,9416171,8604205
679,9416171,14147854
680,9416171,8604205
681,5573747,8604205
682,5573747,5573747
683,5573747,8604205
684,5573747,15655
685,1067361,1153097
686,1067361,1067361
687,1067361,1153097
688,1067361,1153097
689,1067361,1067361
690,3115794,1153097
691,3115794,3115794
692,3115794,1153097
693,3115794,1153097
694,3115794,3115794
695,3115794,2168156
696,3115794,1703626
697,1703387,557579
698,1703387,1703387
699,1703387,1153097
700,3755029,8604205
701,3755029,3755029
702,3755029,8604205
703,3755029,391394
704,3755029,3755029
705,302273,1153097
706,302273,302273
707,302273,1153097
708,302273,302273
709,6328997,1153097
710,6328997,1097073
711,6328997,11273838
712,6328997,8604205
713,2866749,1153097
714,2866749,8604205
715,2513193,1655968
716,2513193,477881
717,2513193,1107171
718,2513193,15655
719,2513193,1655968
720,2513193,2513193
721,2513193,1107171
722,2513193,2513193
723,2513193,15655
724,2513193,254107
725,2513193,15655
726,2513193,254107
727,2513193,722603
728,1703387,391394
729,1703387,1703387
730,13506519,1153097
731,13506519,13506519
732,13506519,8604205
733,13506519,13506519
734,13506519,8604205
735,13506519,1153097
736,13506519,1153097
737,8147833,1153097
738,8147833,6950305
739,8147833,1400401
740,8147833,1153097
741,3112833,1153097
742,3112833,3112833
743,3112833,1153097
744,3112833,3112833
745,3112833,1153097
746,3112833,3112833
747,3112833,1153097
748,3112833,3112833
749,3112833,3112833
750,3112833,3112833
751,3112833,3112833
752,3112833,1153097
753,3112833,3112833
754,3112833,1153097
755,3112833,1153097
756,1593429,1153097
757,1593429,1593429
758,1593429,1153097
759,1593429,15655
760,1593429,2146903
761,1593429,40053075
762,1153097,93018
763,1153097,15655
764,2179722,1153097
765,2179722,2179722
766,445106,1153097
767,445106,445106
768,445106,184926
769,445106,643962
770,9465649,1153097
771,9465649,8604205
772,9465649,1111356
773,9465649,8136417
774,9465649,17528411
775,9465649,8604205
776,9465649,19160626
777,2880509,1153097
778,2880509,3046407
779,2880509,1153097
780,2880509,20832563
781,2880509,1153097
782,8050998,89246
783,8050998,8050998
784,8050998,391394
785,10337756,1153097
786,10337756,5492820
787,10337756,490562
788,3933065,1153097
789,3933065,1153097
790,3933065,8604205
791,462330,1153097
792,2792526,1153097
793,7613342,7613342
794,7613342,5311085
795,7613342,15655
796,7613342,15655
797,7613342,15655
798,7534041,1153097
799,7534041,1153097
800,7534041,7534041
801,7534041,7534041
802,7534041,1153097
803,7534041,1153097
804,7534041,7534041
805,3329142,5384588
806,3329142,1153097
807,3329142,3329142
808,3629899,15655
809,3629899,8604205
810,3629899,4041868
811,3629899,391394
812,3629899,4041868
813,3629899,8604205
814,3629899,391394
815,3629899,391394
816,1044090,8604205
817,1044090,1044090
818,1044090,8604205
819,1044090,1044090
820,44808,1153097
821,44808,44808
822,44808,236317
823,910436,15655
824,354147,354147
825,354147,5384588
826,354147,5384588
827,354147,15655
828,354147,2081709
829,354147,354147
830,354147,15655
831,354147,15655
832,354147,354147
833,354147,2081709
834,354147,354147
835,354147,15655
836,354147,1033998
837,354147,579219
838,5236023,1153097
839,5236023,1153097
840,5236023,5236023
841,5236023,1153097
842,5236023,5236023
843,5236023,1153097
844,5236023,5236023
845,4946571,1153097
846,1676054,15655
847,1148376,1153097
848,1148376,1148376
849,54370,210413
850,54370,571363
851,54370,93018
852,54370,54370
853,54370,4200436
854,54370,54370
855,54370,93018
856,54370,1806509
857,54370,637799
858,54370,7534041
859,54370,1153097
860,54370,1153097
861,54370,54370
862,54370,54370
863,54370,54370
864,54370,1153097
865,54370,54370
866,54370,8604205
867,54370,6257356
868,54370,1153097
869,54370,1153097
870,54370,9931422
871,54370,54370
872,54370,2735664
873,54370,8604205
874,54370,2735664
875,14750987,1153097
876,14750987,1153097
877,7449642,7449642
878,7449642,7907232
879,7449642,7449642
880,7449642,1153097
881,7449642,7449642
882,241708,5384588
883,241708,241708
884,241708,5384588
885,241708,1153097
886,241708,241708
887,241708,1153097
888,1535452,1153097
889,1535452,1535452
890,1535452,1153097
891,1535452,6197215
892,1535452,1110074
893,1535452,1202806
894,1535452,1202806
895,1535452,8604205
896,1535452,959839
897,1535452,1641557
898,10568940,1153097
899,10568940,10568940
900,5184685,1153097
901,5184685,5184685
902,5184685,8604205
903,5184685,8604205
904,5184685,8604205
905,5184685,1153097
906,5184685,8604205
907,5184685,1153097
908,5184685,8604205
909,5184685,8604205
910,5184685,8604205
911,5184685,1153097
912,5184685,1153097
913,5184685,8604205
914,5184685,1153097
915,5184685,1153097
916,5184685,8604205
917,5184685,1153097
918,5184685,8604205
919,5184685,3397695
920,1385752,1153097
921,1385752,8604205
922,1385752,1385752
923,14140929,6197215
924,14140929,14140929
925,14140929,6197215
926,14140929,14140929
927,14140929,9610263
928,14140929,1153097
929,14140929,9610263
930,14140929,14140929
931,14140929,14140929
932,14140929,1153097
933,14140929,14140929
934,14140929,1153097
935,14140929,14140929
936,14140929,681278
937,14140929,5148665
938,14140929,5148665
939,14140929,859737
940,3265649,15655
941,3265649,15655
942,3265649,3265649
943,1043291,93018
944,174768,15655
945,174768,174768
946,174768,15655
947,174768,174768
948,174768,4743602
949,174768,5691845
950,552783,1153097
951,552783,1764161
952,552783,147987
953,812240,5384588
954,812240,812240
955,812240,812240
956,812240,5384588
957,812240,1153097
958,812240,812240
959,1703387,1153097
960,1703387,1703387
961,1703387,110627
962,1703387,1153097
963,111710,5384588
964,111710,111710
965,111710,5384588
966,1608223,8604205
967,1323708,1153097
968,1323708,5573747
969,1761758,1761758
970,1761758,15655
971,1319512,3159367
972,1319512,1153097
973,1319512,1319512
974,1319512,1344105
975,1319512,8604205
976,7405878,14033744
977,7405878,7405878
978,7405878,14033744
979,7405878,93018
980,7405878,7405878
981,7405878,93018
982,7405878,4390806
983,5584300,5584300
984,5584300,93018
985,5584300,159987
986,5584300,13263706
987,5584300,4194171
988,5584300,1321817
989,5584300,7641119
990,5584300,5665996
991,5584300,1153097
992,5584300,975256
993,5584300,1153097
994,5584300,975256
995,5584300,8604205
996,5584300,93018
997,5584300,93018
998,5584300,159987
999,5584300,8605363
1000,5584300,13150911
1001,5584300,37086
1002,5584300,708871
1003,5584300,13150911
1004,5584300,1153097
1005,5584300,4603907
1006,5584300,975256
1007,5584300,5574588
1008,5584300,13150911
1009,1702399,1702399
1010,205320,1703387
1011,205320,205320
1012,205320,185580
1013,2200166,391394
1014,2200166,1668705
1015,2200166,1668705
1016,2200166,15655
1017,2344456,2344456
1018,2344456,1153097
1019,2344456,4227305
1020,2344456,1032258
1021,2344456,4496793
1022,1940447,391394
1023,1940447,1940447
1024,1940447,12854677
1025,1940447,1596303
1026,1940447,5588878
1027,1940447,10567462
1028,1940447,1153097
1029,4249354,1153097
1030,4249354,7891759
1031,4249354,4249354
1032,4249354,7891759
1033,4249354,7891759
1034,71506,3994718
1035,1450680,8604205
1036,1450680,15655
1037,1450680,15655
1038,948356,391394
1039,90930,90930
1040,90930,721513
1041,90930,90930
1042,4257422,391394
1043,4257422,4257422
1044,4257422,391394
1045,4257422,4257422
1046,4257422,1758366
1047,4257422,4257422
1048,4257422,10632216
1049,2367048,8604205
1050,2367048,1153097
1051,2367048,2367048
1052,2367048,981825
1053,2367048,8604205
1054,2367048,981825
1055,2367048,8604205
1056,2367048,12101676
1057,2367048,8604205
1058,3728897,71713349
1059,1308419,1702399
1060,1308419,1308419
1061,1308419,1702399
1062,1308419,1308419
1063,1308419,2617394
1064,12346501,2294695
1065,12346501,2294695
1066,12346501,12346501
1067,12346501,2294695
1068,12346501,12346501
1069,12346501,2294695
1070,12346501,2294695
1071,12346501,2294695
1072,12346501,2294695
1073,12346501,8604205
1074,12346501,8604205
1075,12346501,4352286
1076,12346501,8604205
1077,12346501,8604205
1078,12346501,4352286
1079,12346501,8604205
1080,12346501,950469
1081,12346501,15655
1082,12346501,950469
1083,12346501,15655
1084,12346501,1153097
1085,1153097,15655
1086,1153097,20261538
1087,1153097,15655
1088,912653,391394
1089,912653,912653
1090,912653,391394
1091,912653,912653
1092,461084,391394
1093,461084,461084
1094,461084,391394
1095,461084,461084
1096,461084,391394
1097,461084,461084
1098,461084,391394
1099,461084,461084
1100,461084,15655
1101,6043876,1153097
1102,6043876,1153097
1103,6043876,6043876
1104,6043876,93018
1105,6043876,93018
1106,6043876,1153097
1107,6043876,1153097
1108,6043876,1898413
1109,6043876,93018
1110,391394,391394
1111,391394,89246
1112,391394,391394
1113,1225659,391394
1114,1225659,1153097
1115,1225659,1225659
1116,1225659,8604205
1117,5486786,10254377
1118,5486786,5486786
1119,4279697,8604205
1120,4279697,1153097
1121,1853000,1758366
1122,1853000,1758366
1123,2933430,5384588
1124,2933430,2933430
1125,2933430,5384588
1126,6979221,1143145
1127,366710,2747934
1128,366710,1153097
1129,366710,265051
1130,366710,4663798
1131,366710,366710
1132,366710,16288300
1133,366710,16288300
1134,7951123,8059849
1135,657678,1153097
1136,1153097,1153097
1137,1153097,15655
1138,628508,1153097
1139,628508,1500684
1140,2419349,15655
1141,1761758,15655
1142,1761758,2490655
1143,1761758,8604205
1144,5149945,1153097
1145,5149945,8604205
1146,5149945,8604205
1147,5149945,15655
1148,5149945,5149945
1149,5149945,8604205
1150,5149945,5149945
1151,5149945,8604205
1152,5149945,12596626
1153,5149945,8604205
1154,217034,8604205
1155,217034,217034
1156,217034,8604205
1157,217034,1758366
1158,217034,1153097
1159,1715240,1715077
1160,1715240,7252057
1161,1715240,1500684
1162,1715240,1715077
1163,1715240,1715240
1164,1715240,1500684
1165,1715240,1715240
1166,1715240,1500684
1167,1715240,1715240
1168,1715240,1500684
1169,1715240,1715240
1170,1715240,3224004
1171,1715240,8892187
1172,10137,973550
1173,10137,10137
1174,1434932,1434932
1175,1434932,17033371
1176,1434932,1434932
1177,1434932,17033371
1178,1434932,1434932
1179,1434932,17033371
1180,1434932,1153097
1181,1434932,1434932
1182,1434932,1153097
1183,1434932,19230194
1184,1434932,265051
1185,1434932,379104
1186,1434932,10186499
1187,83420,1703387
1188,83420,83420
1189,83420,13050011
1190,3408176,971735
1191,3408176,3408176
1192,3408176,1703387
1193,3408176,3408176
1194,3408176,1703387
1195,3408176,973550
1196,3408176,3408176
1197,3408176,3408176
1198,3408176,3408176
1199,1225659,822571
1200,1225659,1703387
1201,3396747,1703387
1202,3396747,3396747
1203,3396747,241708
1204,3396747,1947968
1205,8107913,973550
1206,8107913,8107913
1207,8107913,1703387
1208,8107913,1335354
1209,17696,973550
1210,17696,17696
1211,17696,15655
1212,1897006,5180973
1213,1897006,1153097
1214,1897006,5108906
1215,1897006,1897006
1216,1897006,1153097
1217,1897006,5086428
1218,1897006,5108906
1219,1897006,5086428
1220,1897006,5108906
1221,1897006,5086428
1222,1897006,5108906
1223,1897006,5086428
1224,1897006,1153097
1225,1897006,89246
1226,1897006,6242338
1227,1897006,19676004
1228,1897006,1703387
1229,1897006,19676004
1230,1897006,1703387
1231,1897006,8604205
1232,1897006,1703387
1233,1897006,1703387
1234,1897006,7140322
1235,1897006,8604205
1236,1897006,3506071
1237,800583,1153097
1238,800583,800583
1239,5651564,1045233
1240,5108906,973550
1241,1140217,973550
1242,1140217,5108906
1243,1140217,1140217
1244,1140217,89246
1245,1140217,8604205
1246,1140217,89246
1247,1140217,8604205
1248,1140217,5108906
1249,1140217,5084142
1250,1140217,89246
1251,1140217,5084142
1252,1140217,628508
1253,1140217,89246
1254,1140217,8604205
1255,1140217,89246
1256,1140217,241708
1257,1140217,391394
1258,1140217,89246
1259,1140217,5084142
1260,1140217,5084142
1261,1140217,89246
1262,1140217,9379701
1263,1140217,89246
1264,1140217,1140217
1265,1140217,9610263
1266,1140217,89246
1267,1140217,9610263
1268,1140217,5162687
1269,1140217,8604205
1270,1140217,486104
1271,1140217,1761758
1272,1140217,5255354
1273,1140217,8604205
1274,1140217,5255354
1275,1140217,5162687
1276,1140217,89246
1277,1140217,8604205
1278,1140217,89246
1279,1140217,5255354
1280,1140217,8480351
1281,3695164,1153097
1282,3695164,3695164
1283,3695164,1153097
1284,3695164,3695164
1285,3874909,1153097
1286,3874909,1153097
1287,3874909,1045233
1288,3874909,3874909
1289,3874909,1045233
1290,3874909,1045233
1291,3874909,1045233
1292,3874909,3245367
1293,3874909,8604205
1294,3874909,1045233
1295,3874909,8604205
1296,3874909,4007812
1297,300402,973550
1298,384451,973550
1299,384451,155986
1300,384451,384451
1301,911208,6476707
1302,911208,15655
1303,911208,911208
1304,4390732,391394
1305,4390732,973550
1306,4390732,4390732
1307,4390732,391394
1308,4390732,4390732
1309,4390732,4390732
1310,4390732,391394
1311,4390732,4390732
1312,4390732,391394
1313,4390732,4390732
1314,4390732,391394
1315,4390732,4390732
1316,9265540,93018
1317,9265540,93018
1318,9265540,9265540
1319,9265540,93018
1320,9265540,15655
1321,9265540,15655
1322,9265540,15655
1323,9265540,15655
1324,9265540,1153097
1325,9265540,15655
1326,9265540,15655
1327,9265540,1153097
1328,9265540,1153097
1329,9265540,4323295
1330,9265540,12272901
1331,9265540,22676630
1332,5889495,973550
1333,5889495,391394
1334,5889495,973550
1335,5889495,391394
1336,5889495,973550
1337,5889495,391394
1338,5889495,973550
1339,2150362,9610263
1340,2150362,2150362
1341,2150362,391394
1342,2150362,973550
1343,2150362,391394
1344,2150362,2150362
1345,2150362,391394
1346,2150362,905156
1347,2150362,391394
1348,2150362,905156
1349,2150362,413772
1350,2150362,8604205
1351,2150362,413772
1352,2150362,905156
1353,356564,973550
1354,356564,1153097
1355,356564,973550
1356,356564,1153097
1357,54934,1153097
1358,54934,54934
1359,54934,1153097
1360,54934,54934
1361,54934,5108906
1362,54934,54934
1363,54934,5952444
1364,54934,2566560
1365,54934,1127729
1366,54934,2890843
1367,54934,13080040
1368,54934,1153097
1369,54934,1703387
1370,6541042,973550
1371,6541042,6541042
1372,6541042,5108906
1373,6541042,7746495
1374,6541042,1483306
1375,6541042,1849488
1376,6541042,373222
1377,6541042,5372725
1378,6541042,58109
1379,140338,1153097
1380,140338,140338
1381,140338,1153097
1382,140338,15655
1383,140338,140338
1384,140338,15655
1385,140338,140338
1386,140338,93018
1387,140338,140338
1388,140338,1162531
1389,140338,4038192
1390,140338,15655
1391,140338,1162531
1392,140338,15655
1393,140338,25540842
1394,140338,15655
1395,140338,25540842
1396,140338,15655
1397,10502188,973550
1398,7564255,973550
1399,7564255,7564255
1400,7564255,9610263
1401,7564255,7564255
1402,7564255,1153097
1403,7564255,973550
1404,7564255,8604205
1405,7564255,7564255
1406,7564255,973550
1407,7564255,8604205
1408,7564255,973550
1409,7564255,8604205
1410,3695164,8604205
1411,3695164,3695164
1412,3695164,8604205
1413,3695164,973550
1414,3695164,6257356
1415,3695164,8604205
1416,3695164,6257356
1417,3695164,8604205
1418,3695164,6257356
1419,3695164,3695164
1420,3695164,8604205
1421,2903904,391394
1422,2903904,2903904
1423,1051054,15655
1424,1051054,8604205
1425,1024920,5384588
1426,1024920,391394
